Text	No. words in text	No. hits in text	Freq. per hundred	language
PSYG0142	523	1	0.191205	A
PSYG0151	2090	12	0.574163	A
PSYG0161	2638	4	0.15163	A
PSYG0171	1896	2	0.105485	A
PSYG0172	1754	1	0.057013	A
PSYG0181	4737	7	0.147773	A
PSYG0192	621	3	0.483092	A
PSYG0193	662	1	0.151057	A
PSYG0201	1801	5	0.277624	A
PSYG0211	3231	12	0.371402	A
PSYG0231	2956	9	0.304465	A
PSYG0232	4506	18	0.399467	A
PSYG0241	4357	8	0.183613	A
PSYG0261	3305	12	0.363086	A
PSYG0271	2038	2	0.098135	A
PSYG0281	4557	9	0.197498	A
PSYG0291	4950	30	0.606061	A
PSYG0301	5135	20	0.389484	A
PSYG0311	2034	7	0.344149	A
PSYG0321	1458	5	0.342936	A
PSYG0322	2555	8	0.313112	A
PSYG0331	813	3	0.369004	A
PSYG0341	1480	6	0.405405	A
PSYG0342	1883	3	0.15932	A
PSYG0351	2759	10	0.36245	A
PSYG0361	1824	13	0.712719	A
PSYG0381	3419	10	0.292483	A
PSYG0382	3365	14	0.416048	A
PSYG0391	3191	14	0.438734	A
PSYG0401	2500	3	0.12	A
PSYG0402	1958	7	0.357508	A
PSYG0411	2646	10	0.377929	A
PSYG0421	1413	4	0.283086	A
PSYG0422	1331	3	0.225394	A
PSYG0431	3018	8	0.265076	A
PSYG1011	2973	4	0.134544	A
PSYG1021	2035	6	0.29484	A
PSYG1031	5438	27	0.496506	A
PSYG1041	3206	10	0.311915	A
PSYG1051	3141	11	0.350207	A
PSYG1061	5066	8	0.157916	A
PSYG1071	3483	15	0.430663	A
PSYG1081	2501	9	0.359856	A
PSYG1091	3499	20	0.571592	A
PSYG1101	4522	12	0.265369	A
PSYG1111	6023	19	0.315457	A
PSYG1112	4410	13	0.294785	A
PSYG1113	1558	9	0.577664	A
PSYG1114	2175	12	0.551724	A
PSYG1115	2922	9	0.308008	A
PSYG1121	3902	7	0.179395	A
PSYG1131	9609	60	0.624415	A
PSYG2011	5050	16	0.316832	A
PSYG2021	3599	10	0.277855	A
PSYG2022	3133	3	0.095755	A
PSYG2023	3706	15	0.404749	A
PSYG2031	4004	21	0.524476	A
PSYG2041	5028	20	0.397772	A
PSYG2051	2711	5	0.184434	A
PSYG2061	1011	1	0.098912	A
PSYG2062	1323	3	0.226757	A
PSYG2071	4681	18	0.384533	A
PSYG2081	4584	7	0.152705	A
PSYG2091	9517	32	0.33624	A
PSYG2101	2105	6	0.285036	A
PSYG2102	2591	1	0.038595	A
PSYG2103	2342	26	1.110162	A
PSYG2104	2874	6	0.208768	A
PSYG2105	2201	3	0.136302	A
PSYG2111	1606	9	0.560399	A
PSYG2112	1301	2	0.153728	A
PSYG2121	2062	4	0.193986	A
PSYG2131	4054	5	0.123335	A
PSYG2141	4924	19	0.385865	A
PSYG2151	4597	41	0.891886	A
PSYG3011	5035	14	0.278054	A
PSYG3021	4065	10	0.246002	A
PSYG3031	3762	5	0.132908	A
PSYG3032	3718	10	0.268962	A
PSYG3041	2660	8	0.300752	A
PSYG3051	6274	9	0.143449	A
PSYG3061	4515	10	0.221484	A
PSYG3071	3673	13	0.353934	A
PSYG3081	4843	39	0.805286	A
SOCG0011	2801	10	0.357015	A
SOCG0021	2211	6	0.27137	A
SOCG0022	2569	4	0.155703	A
SOCG0031	2453	5	0.203832	A
